India,Asia/Kolkata
Pakistan,Asia/Karachi
Germany,Europe/Berlin
USA-NewYork,America/New_York
USA-LosAngeles,America/Los_Angeles
Russia-Moscow,Europe/Moscow
Japan,Asia/Tokyo
Australia-Sydney,Australia/Sydney
UK,Europe/London
France,Europe/Paris
China,Asia/Shanghai
Brazil,America/Sao_Paulo
SouthAfrica,Africa/Johannesburg
Egypt,Africa/Cairo
SaudiArabia,Asia/Riyadh
Mexico,America/Mexico_City
Argentina,America/Argentina/Buenos_Aires
NewZealand,Pacific/Auckland
Palestine,Asia/Gaza
Canada-Toronto,America/Toronto
